Training Data Count,Testing Data Count,Training Time,Covalidation Testing Time,Kernel,gamma,C,Prediction Time,Prediction Accuracy,Time Stamp
419,11120,181.199,0.308,linear,N/A,43.0,0.268,89.22661870503597,Sun Apr 08 09:20:34 EDT 2018
419,11120,135.52,0.288,linear,N/A,43.0,0.259,89.41546762589928,Sun Apr 08 09:22:50 EDT 2018
419,11120,92.031,0.292,linear,N/A,43.0,0.284,89.51438848920866,Sun Apr 08 09:24:23 EDT 2018
419,11120,123.224,0.314,linear,N/A,43.0,0.272,90.35971223021583,Sun Apr 08 09:26:28 EDT 2018
419,11120,93.082,0.298,linear,N/A,43.0,0.258,89.79316546762593,Sun Apr 08 09:28:02 EDT 2018
419,11120,823.186,1.892,linear,N/A,43.0,0.298,90.17086330935254,Sun Apr 08 09:41:48 EDT 2018
419,11120,88.013,0.308,linear,N/A,45.0,0.29,88.56115107913666,Sun Apr 08 09:43:17 EDT 2018
419,11120,144.96,0.33,linear,N/A,45.0,0.289,90.00899280575538,Sun Apr 08 09:45:43 EDT 2018
419,11120,172.629,0.317,linear,N/A,45.0,0.274,89.44244604316543,Sun Apr 08 09:48:36 EDT 2018
419,11120,314.193,0.298,linear,N/A,45.0,0.27,90.47661870503599,Sun Apr 08 09:53:52 EDT 2018
419,11120,174.557,0.295,linear,N/A,45.0,0.265,87.78776978417268,Sun Apr 08 09:56:47 EDT 2018
419,11120,133.682,0.29,linear,N/A,45.0,0.262,90.03597122302159,Sun Apr 08 09:59:02 EDT 2018
419,11120,242.895,0.322,linear,N/A,45.0,0.267,89.28956834532374,Sun Apr 08 10:03:06 EDT 2018
419,11120,107.285,0.301,linear,N/A,45.0,0.262,88.5161870503597,Sun Apr 08 10:04:54 EDT 2018
419,11120,1635.34,3.0509999999999997,linear,N/A,45.0,0.309,90.16187050359714,Sun Apr 08 10:32:13 EDT 2018
419,11120,149.695,0.312,linear,N/A,47.0,0.278,90.32374100719424,Sun Apr 08 10:34:44 EDT 2018
419,11120,113.419,0.352,linear,N/A,47.0,0.276,88.5251798561151,Sun Apr 08 10:36:39 EDT 2018
419,11120,134.309,0.318,linear,N/A,47.0,0.271,90.14388489208633,Sun Apr 08 10:38:54 EDT 2018
419,11120,182.434,0.353,linear,N/A,47.0,0.283,89.52338129496401,Sun Apr 08 10:41:58 EDT 2018
419,11120,215.861,0.33,linear,N/A,47.0,0.279,89.14568345323741,Sun Apr 08 10:45:35 EDT 2018
419,11120,114.68,0.348,linear,N/A,47.0,0.293,89.64028776978418,Sun Apr 08 10:47:31 EDT 2018
419,11120,114.996,0.35,linear,N/A,47.0,0.309,89.68525179856115,Sun Apr 08 10:49:27 EDT 2018
419,11120,119.803,0.349,linear,N/A,47.0,0.293,89.76618705035973,Sun Apr 08 10:51:28 EDT 2018
419,11120,592.551,1.146,linear,N/A,47.0,0.271,90.0179856115108,Sun Apr 08 11:01:22 EDT 2018
419,11120,271.754,0.328,linear,N/A,49.0,0.279,90.00000000000004,Sun Apr 08 11:05:55 EDT 2018
419,11120,210.831,0.362,linear,N/A,49.0,0.316,89.51438848920861,Sun Apr 08 11:09:27 EDT 2018
419,11120,180.057,0.323,linear,N/A,49.0,0.302,90.05395683453239,Sun Apr 08 11:12:29 EDT 2018
419,11120,97.217,0.34,linear,N/A,49.0,0.279,89.54136690647485,Sun Apr 08 11:14:07 EDT 2018
419,11120,153.773,0.351,linear,N/A,49.0,0.292,90.14388489208633,Sun Apr 08 11:16:42 EDT 2018
419,11120,110.681,0.413,linear,N/A,49.0,0.294,87.90467625899281,Sun Apr 08 11:18:34 EDT 2018
419,11120,210.062,0.302,linear,N/A,49.0,0.305,90.30575539568346,Sun Apr 08 11:22:05 EDT 2018
419,11120,162.075,0.315,linear,N/A,49.0,0.27,89.00179856115106,Sun Apr 08 11:24:48 EDT 2018
419,11120,837.421,1.403,linear,N/A,49.0,0.28,90.03597122302158,Sun Apr 08 11:38:48 EDT 2018
696,18520,1484.646,1.2770000000000001,linear,N/A,1.0,0.15,54.42764578833694,Sun Apr 08 17:06:02 EDT 2018
696,18520,1618.922,1.3079999999999998,linear,N/A,1.0,0.158,53.623110151187916,Sun Apr 08 17:33:03 EDT 2018
349,36640,31.515,0.184,linear,N/A,1.0,0.165,90.34661572052401,Sun Apr 08 17:57:05 EDT 2018
349,36640,41.075,0.244,linear,N/A,1.0,0.187,90.48853711790395,Sun Apr 08 17:57:47 EDT 2018
349,36640,29.143,0.197,linear,N/A,1.0,0.151,90.37936681222709,Sun Apr 08 17:58:17 EDT 2018
349,36640,34.709,0.189,linear,N/A,1.0,0.16,90.06550218340612,Sun Apr 08 17:58:52 EDT 2018
349,36640,84.915,0.505,linear,N/A,3.0,0.18,78.96015283842794,Sun Apr 08 18:00:18 EDT 2018
349,36640,32.178,0.19,linear,N/A,3.0,0.182,85.2046943231441,Sun Apr 08 18:00:51 EDT 2018
349,36640,11.291,0.218,linear,N/A,3.0,0.163,90.23471615720526,Sun Apr 08 18:01:04 EDT 2018
349,36640,375.54999999999995,1.5290000000000001,linear,N/A,3.0,0.164,84.64246724890829,Sun Apr 08 18:07:21 EDT 2018
349,36640,49.713,0.271,linear,N/A,5.0,0.152,81.98144104803492,Sun Apr 08 18:08:12 EDT 2018
349,36640,32.994,0.204,linear,N/A,5.0,0.193,86.95687772925764,Sun Apr 08 18:08:46 EDT 2018
349,36640,49.456,0.161,linear,N/A,5.0,0.143,86.25272925764195,Sun Apr 08 18:09:36 EDT 2018
349,36640,486.552,1.1600000000000001,linear,N/A,5.0,0.152,90.63318777292575,Sun Apr 08 18:17:44 EDT 2018
